question,answer
Làm thế nào để phân loại đâu là một sản phẩm mỹ phẩm?,"- Theo Hiệp định mỹ phẩm ASEAN và Thông tư số 06/2011/TT-BYT ngày 25/01/2011 của Bộ Y tế quy định về quản lý mỹ phẩm, mỹ phẩm được phân loại thành 20 nhóm sản phẩm được quy định cụ thể tại Mục 2 (dạng sản phẩm) của Phụ lục số 01-MP của Thông tư. - Tiêu chí để phân loại sản phẩm mỹ phẩm dựa vào tính năng, mục đích sử dụng, thành phần công thức, đường dùng của sản phẩm và định nghĩa về mỹ phẩm quy định tại Khoản 1 Điều 2 Thông tư số 06/2011/TT-BYT ngày 25/01/2011. Việc đánh giá công bố tính năng sản phẩm (nêu ở phần mục đích sử dụng cũng như tên sản phẩm) không thể tách rời với việc xem xét một sản phẩm có phải là sản phẩm mỹ phẩm hay không. Tính năng, mục đích sử dụng sản phẩm mỹ phẩm phải đáp ứng Hướng dẫn của ASEAN về công bố tính năng của sản phẩm mỹ phẩm (Phụ lục số 03-MP của Thông tư số 06/2011/TT-BYT). Thành phần công thức sản phẩm mỹ phẩm phải đáp ứng các Phụ lục của Hiệp định mỹ phẩm ASEAN. Lưu ý: thành phần có nguồn gốc từ con người không được phép sử dụng trong mỹ phẩm. - Đặc tí"
Tôi muốn sản xuất mỹ phẩm thì cần điều kiện gì?,"Cơ sở sản xuất mỹ phẩm hoạt động được khi có Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm theo quy định tại Nghị định 93/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về điều kiện sản xuất mỹ phẩm. Theo đó, Cơ sở sản xuất mỹ phẩm phải đáp ứng các điều kiện như sau: 1. Điều kiện về nhân sự: Người phụ trách sản xuất của cơ sở phải có kiến thức chuyên môn về một trong các chuyên ngành sau: Hóa học, sinh học, dược học hoặc các chuyên ngành khác có liên quan đáp ứng yêu cầu của công việc. 2. Điều kiện về cơ sở vật chất: - Có địa điểm, diện tích, nhà xưởng, trang thiết bị đáp ứng với yêu cầu về dây chuyền sản xuất, loại sản phẩm mỹ phẩm mà cơ sở đó dự kiến sản xuất như đã nêu trong hồ sơ đề nghị cấp Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm; - Kho bảo quản nguyên liệu, vật liệu đóng gói và thành phẩm phải bảo đảm có sự tách biệt giữa nguyên liệu, vật liệu đóng gói và thành phẩm; có khu vực riêng để bảo quản các chất dễ cháy nổ, các chất độc tính cao, nguyên, vật liệu và sản phẩm bị loại, bị thu hồi v"
Phí/ Lệ phí của thủ tục xin cấp Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm là bao nhiêu?,"Theo quy định tại Thông tư số 277/2016/TT-BTC ngày 14/11/2016 của Bộ Tài chính về việc quy định mức thu, chế độ thu, nộp, quản lý và sử dụng phí trong lĩnh vực dược, mỹ phẩm, Phí thẩm định điều kiện sản xuất mỹ phẩm cấp Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm là 6.000.000đ (Sáu triệu đồng)/ Cơ sở."
"Ai tổ chức thực hiện, thanh toán chi phí khám bệnh, chữa bệnh bảo hiểm y tế?","Bảo hiểm xã hội Việt Nam tổ chức thực hiện, thanh toán chi phí khám bệnh, chữa bệnh bảo hiểm y tế theo quy định của pháp luật về bảo hiểm y tế và Thông tư số 35/2016/TT-BYT."
"Cơ quan nào thừa nhận giấy phép hành nghề khám bệnh, chữa bệnh y học cổ truyền do cơ quan, tổ chức có thẩm quyền của nước ngoài cấp?","Bộ Y tế thừa nhận giấy phép hành nghề khám bệnh, chữa bệnh y học cổ truyền do cơ quan, tổ chức có thẩm quyền của nước ngoài cấp."
"Tóm tắt trách nhiệm của cơ sở khám bệnh, chữa bệnh trong thực hiện bảo hiểm y tế theo quy định của Thông tư số 35/2016/TT-BYT?","Cơ sở khám bệnh, chữa bệnh có trách nhiệm chỉ định và cung cấp đầy đủ dịch vụ kỹ thuật y tế bảo đảm quyền lợi của người tham gia bảo hiểm y tế, theo quy định của pháp luật về bảo hiểm y tế và Thông tư số 35/2016/TT-BYT."
"Theo quy định của Thông tư số 35/2016/TT-BYT, tổ chức nào có trách nhiệm hướng dẫn và triển khai thực hiện các văn bản pháp luật, chiến lược, quy hoạch, kế hoạch, chính sách, chương trình, dự án quan trọng của lĩnh vực Bảo hiểm y tế?","Bộ Y tế có trách nhiệm hướng dẫn và triển khai thực hiện các văn bản pháp luật, chiến lược, quy hoạch, kế hoạch, chính sách, chương trình, dự án quan trọng của lĩnh vực Bảo hiểm y tế."
"Bộ Y tế có trách nhiệm gì trong việc sửa đổi, bổ sung danh mục dịch vụ kỹ thuật y tế?","Bộ Y tế chủ trì, phối hợp với các cơ quan liên quan sửa đổi, bổ sung danh mục dịch vụ kỹ thuật y tế bảo đảm nguyên tắc người bệnh được tiếp cận với dịch vụ kỹ thuật y tế có chất lượng, đáp ứng hiệu quả điều trị, phù hợp giữa mức đóng, mức hưởng bảo hiểm y tế, khuyến khích phát triển có kiểm soát sử dụng các dịch vụ kỹ thuật y tế với chi phí hợp lý theo quy định của pháp luật về bảo hiểm y tế."
"Cơ sở khám bệnh, chữa bệnh có trách nhiệm gì trong việc chỉ định và cung cấp dịch vụ kỹ thuật y tế?","Cơ sở khám bệnh, chữa bệnh có trách nhiệm chỉ định và cung cấp đầy đủ dịch vụ kỹ thuật y tế bảo đảm quyền lợi của người tham gia bảo hiểm y tế theo quy định của pháp luật về bảo hiểm y tế."
"Điều 8 của Thông tư nào quy định về tổ chức thực hiện và trách nhiệm của các cơ sở khám bệnh, chữa bệnh trong lĩnh vực bảo hiểm y tế?","Theo Điều 8 của Thông tư số 35/2016/TT-BYT, Bộ Y tế chủ trì, phối hợp với các cơ quan liên quan sửa đổi, bổ sung danh mục dịch vụ kỹ thuật y tế ban hành kèm theo Thông tư này bảo đảm nguyên tắc người bệnh được tiếp cận với dịch vụ kỹ thuật y tế có chất lượng, đáp ứng hiệu quả điều trị, phù hợp giữa mức đóng, mức hưởng bảo hiểm y tế, khuyến khích phát triển có kiểm soát sử dụng các dịch vụ kỹ thuật y tế với chi phí hợp lý."
Công việc cụ thể của Bộ Y tế trong lĩnh vực bảo hiểm y tế là gì?,"Theo Chunk 2, công việc cụ thể của Bộ Y tế trong lĩnh vực bảo hiểm y tế là xây dựng văn bản quy phạm pháp luật, chiến lược, quy hoạch, kế hoạch, chính sách, chương trình, đề án và hướng dẫn triển khai thực hiện các văn bản pháp luật, chiến lược, quy hoạch, kế hoạch, chính sách, chương trình, dự án quan trọng của lĩnh vực Bảo hiểm y tế."
Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài có trách nhiệm gì?,"Gửi danh sách công chức, viên chức đi chuyên gia và lao động y tế trở về nước tới Vụ Tổ chức cán bộ để kiểm tra, theo dõi và Vụ Hợp tác quốc tế để biết và phối hợp quản lý. Theo Điều 5 của Thông tư số 195/2014/TT-BYT."
"Các cơ quan có thẩm quyền quản lý công chức, viên chức thuộc cấp Bộ, ngành và tỉnh có trách nhiệm gì?","Phối hợp cùng Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài tổ chức thực hiện theo hướng dẫn của Thông tư này; đồng thời chịu trách nhiệm giải quyết các vấn đề phát sinh trước, trong và sau khi công chức, viên chức y tế đi chuyên gia và lao động nước ngoài. Theo Điều 1 của Thông tư số 195/2014/TT-BYT."
"Khi xây dựng các văn bản thuộc thẩm quyền ban hành thuộc lĩnh vực phụ trách, cần đảm bảo quy trình công tác và theo đúng kế hoạch về tiến độ, chất lượng và hiệu quả công việc. Vận dụng điều khoản nào vào tình huống thực tế này?","Theo Điều 2.5 của Thông tư số 195/2014/TT-BYT, cần phối hợp với các đơn vị liên quan tham mưu hoạch định và thực thi chính sách liên quan đến ngành, lĩnh vực nhiệm vụ được phân công."
"Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài có trách nhiệm gửi danh sách công chức, viên chức đi chuyên gia và lao động y tế trở về nước tới đâu?","Theo Điều 5 của Thông tư số 195/2014/TT-BYT, Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài có trách nhiệm gửi danh sách công chức, viên chức đi chuyên gia và lao động y tế trở về nước tới Vụ Tổ chức cán bộ để kiểm tra, theo dõi và Vụ Hợp tác quốc tế để biết và phối hợp quản lý."
"Phối hợp với các đơn vị liên quan tham mưu hoạch định và thực thi chính sách liên quan đến ngành, lĩnh vực nhiệm vụ được phân công khác gì với xây dựng các văn bản thuộc thẩm quyền ban hành thuộc lĩnh vực phụ trách?","Phối hợp với các đơn vị liên quan tham mưu hoạch định và thực thi chính sách liên quan đến ngành, lĩnh vực nhiệm vụ được phân công là việc thực hiện nhiệm vụ chung, hội họp, tham dự các cuộc họp liên quan đến lĩnh vực chuyên môn ở trong và ngoài đơn vị theo phân công. Theo Điều 2.5 của [Chunk 1], trong khi xây dựng các văn bản thuộc thẩm quyền ban hành thuộc lĩnh vực phụ trách là việc xây dựng các văn bản pháp quy, các văn bản về chuyên môn, nghiệp vụ, biên soạn các tài liệu hướng dẫn nghiệp vụ thuộc ngành hoặc lĩnh vực được phân công. Theo Điều 2.5 của [Chunk 1]."
"Trách nhiệm của Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài trong công tác thống kê và tổng hợp, báo cáo khác gì với trách nhiệm của các cơ quan có thẩm quyền quản lý công chức, viên chức thuộc cấp Bộ, ngành và tỉnh?","Trách nhiệm của Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài trong công tác thống kê và tổng hợp, báo cáo là việc gửi danh sách công chức, viên chức đi chuyên gia và lao động y tế trở về nước tới Vụ Tổ chức cán bộ để kiểm tra, theo dõi và Vụ Hợp tác quốc tế để biết và phối hợp quản lý. Theo Điều 5 của [Chunk 3], trong khi trách nhiệm của các cơ quan có thẩm quyền quản lý công chức, viên chức thuộc cấp Bộ, ngành và tỉnh là việc phối hợp cùng Trung tâm hợp tác chuyên gia và nhân lực y tế với nước ngoài tổ chức thực hiện theo hướng dẫn của Thông tư này; đồng thời chịu trách nhiệm giải quyết các vấn đề phát sinh trước, trong và sau khi công chức, viên chức y tế đi chuyên gia và lao động nước ngoài. Theo Điều 3 của [Chunk 3]."
Nhiệm vụ của khoa Dinh dưỡng hoặc bộ phận Dinh dưỡng là gì?,"Tham mưu cho lãnh đạo bệnh viện về hoạt động dinh dưỡng trong bệnh viện. Xây dựng, triển khai quy trình kỹ thuật chuyên môn về dinh dưỡng lâm sàng trong bệnh viện. Tổ chức thực hiện các hoạt động khám, tư vấn và điều trị bằng chế độ dinh dưỡng phù hợp với tình trạng dinh dưỡng và bệnh lý cho người bệnh. Tổ chức xây dựng chế độ dinh dưỡng phù hợp với tình trạng dinh dưỡng và bệnh lý cho người bệnh điều trị nội trú trong bệnh viện. Phối hợp với các khoa lâm sàng chỉ định chế độ dinh dưỡng bệnh lý cho người bệnh bị suy dinh dưỡng nặng, người bệnh được phân cấp chăm sóc cấp I. Quản lý thực phẩm, chế biến, cung cấp chế độ dinh dưỡng bệnh lý cho người bệnh tại giường bệnh. Kiểm tra, giám sát an toàn thực phẩm trong bệnh viện. Kiểm tra, giám sát việc thực hiện các quy định về hoạt động dinh dưỡng tại các khoa lâm sàng và trong bệnh viện. Theo Điều 9 của Thông tư số /TT-BYT."
"Các cơ sở sản xuất, kinh doanh thực phẩm thuộc đối tượng không phải cấp Giấy chứng nhận là gì?","Cơ sở sản xuất thực phẩm chức năng ban đầu nhỏ lẻ. Cơ sở kinh doanh nhỏ lẻ không có yêu cầu bảo quản sản phẩm đặc biệt. Cơ sở bán hàng rong. Cơ sở kinh doanh bao gói sẵn không yêu cầu điều kiện bảo quản đặc biệt. Cơ sở kinh doanh bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm. Nhà thuốc đã được cấp Giấy chứng nhận đạt GPP có kinh doanh thực phẩm chức năng, thực phẩm tăng cường vi chất dinh dưỡng. Theo Điều 9 của Thông tư số /TT-BYT."
Nhiệm vụ của khoa Dinh dưỡng hoặc bộ phận Dinh dưỡng trong bệnh viện là gì?,"Tham mưu cho lãnh đạo bệnh viện về hoạt động dinh dưỡng trong bệnh viện, xây dựng, triển khai quy trình kỹ thuật chuyên môn về dinh dưỡng lâm sàng trong bệnh viện và các nhiệm vụ khác. Theo Điều 9 của Thông tư số [Số hiệu]"
"Các cơ sở sản xuất, kinh doanh thực phẩm chức năng, thực phẩm tăng cường vi chất dinh dưỡng, phụ gia thực phẩm, chất hỗ trợ chế biến, nước khoáng thiên nhiên, nước uống đóng chai và bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm thuộc phạm vi quản lý của Bộ Y tế bao gồm những cơ sở nào?","Cơ sở sản xuất thực phẩm chức năng ban đầu nhỏ lẻ, cơ sở kinh doanh nhỏ lẻ không có yêu cầu bảo quản sản phẩm đặc biệt, cơ sở bán hàng rong, cơ sở kinh doanh bao gói sẵn không yêu cầu điều kiện bảo quản đặc biệt, cơ sở kinh doanh bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm. Theo Điều 9 của Thông tư số [Số hiệu]"
"Thành phần của đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính do Cục trưởng Cục Phòng, chống HIV/AIDS quyết định?","Đại diện Lãnh đạo Cục Phòng, chống HIV/AIDS làm trưởng đoàn; cán bộ phụ trách hoạt động xét nghiệm HIV thuộc Cục Phòng, chống HIV/AIDS; chuyên gia về xét nghiệm HIV có ít nhất 5 năm kinh nghiệm thực hiện xét nghiệm khẳng định HIV dương tính bằng kỹ thuật phù hợp với kỹ thuật cơ sở y tế đề nghị thẩm định; các thành viên khác trong trường hợp cần thiết. Theo Điều 3 của Thông tư số 15/2023/TT-BYT."
Các trường hợp cấp lại giấy chứng nhận phòng xét nghiệm khẳng định HIV?,Giấy chứng nhận hết hạn; giấy chứng nhận bị mất hoặc hư hỏng; thay đổi người phụ trách hoặc nhân viên trực tiếp thực hiện kỹ thuật xét nghiệm HIV; thay đổi về vị trí cơ sở xét nghiệm; bổ sung kỹ thuật xét nghiệm HIV; giấy chứng nhận bị thu hồi. Theo Điều 20 của Thông tư số 15/2023/TT-BYT.
Tóm tắt thủ tục công bố phòng xét nghiệm đủ điều kiện thực hiện xét nghiệm sàng lọc HIV?,"Thủ tục công bố đủ điều kiện xét nghiệm HIV được thực hiện cùng thời điểm thực hiện việc đề nghị cấp Giấy phép hoạt động của cơ sở, theo Điều 18 của Thông tư số 195/2014/TT-BYT."
Ai quyết định thành lập đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính?,"Cục trưởng Cục Phòng, chống HIV/AIDS quyết định thành lập đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính, theo Điều 3 của Thông tư số 195/2014/TT-BYT."
"So sánh thành phần đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính giữa Cục Phòng, chống HIV/AIDS và Sở Y tế?","Theo Điều 3 của Thông tư số [Số hiệu], đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính gồm các thành viên: đại diện Lãnh đạo Cục phòng, chống HIV/AIDS làm trưởng đoàn, cán bộ phụ trách hoạt động xét nghiệm HIV thuộc Cục Phòng, chống HIV/AIDS, chuyên gia về xét nghiệm HIV có ít nhất 5 năm kinh nghiệm thực hiện xét nghiệm khẳng định HIV dương tính bằng kỹ thuật phù hợp với kỹ thuật cơ sở y tế đề nghị thẩm định. Còn theo Điều 3 của Thông tư số [Số hiệu], đoàn thẩm định cấp giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính gồm các thành viên: đại diện Lãnh đạo Sở Y tế làm trưởng đoàn, ..."
Hồ sơ và thủ tục cấp lại giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính trong trường hợp giấy chứng nhận bị mất hoặc hư hỏng?,"Theo Điều 20 của Thông tư số [Số hiệu], hồ sơ đề nghị cấp lại giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính gồm: văn bản đề nghị cấp lại của cơ sở nơi có phòng xét nghiệm khẳng định HIV theo mẫu quy định tại Phụ lục 8 ban hành kèm theo Thông tư này, giấy chứng nhận phòng xét nghiệm khẳng định HIV đã được cấp (nếu có). Quy trình thẩm định cấp lại giấy chứng nhận đủ điều kiện xét nghiệm khẳng định các trường hợp HIV dương tính do giấy chứng nhận bị mất hoặc hư hỏng."
Những chức danh chuyên môn nào được cấp giấy phép hành nghề trong giai đoạn chuyển tiếp?,"a) Bác sỹ y khoa; b) Bác sỹ y học dự phòng; d) Bác sỹ răng hàm mặt; đ) Bác sỹ với phạm vi hành nghề chuyên khoa, trừ các chuyên khoa thuộc y học cổ truyền; e) Y sỹ đa khoa; g) Hộ sinh; h) Kỹ thuật y; i) Dinh dưỡng lâm sàng; k) Tâm lý lâm sàng; l) Cấp cứu viên ngoại viện. Theo Điều 1 của Luật Khám bệnh, chữa bệnh số 15/2023/QH15."
"Phạm vi hành nghề của dịch vụ tiêm chích, thay băng là gì?","Chỉ thực hiện theo đơn của bác sỹ, không được khám bệnh, kê đơn. Theo Điều 3 của Luật Khám bệnh, chữa bệnh số 15/2023/QH15."
Tóm tắt phạm vi hành nghề quy định tại Điều 3 của Thông tư nào?,"Theo Điều 3, phạm vi hành nghề bao gồm dịch vụ tiêm chích, thay băng; dịch vụ làm răng giả; dịch vụ chăm sóc sức khỏe tại nhà. Theo Điều 3 của Thông tư số 195/2014/TT-BYT."
"Việc thu và sử dụng lệ phí cấp, cấp lại chứng chỉ hành nghề được quy định tại Điều nào của Thông tư nào?","Theo Điều 3, việc thu và sử dụng lệ phí cấp, cấp lại chứng chỉ hành nghề bao gồm cả điều chỉnh phạm vi hoạt động chuyên môn trong chứng chỉ hành nghề; cấp, cấp lại và điều chỉnh giấy phép hoạt động của các cơ sở khám bệnh, chữa bệnh. Theo Điều 3 của Thông tư số 195/2014/TT-BYT."
"Hồ sơ xin nhập khẩu mẫu bệnh phẩm để kiểm định, thử thực địa gồm những gì?","Công văn xin nhập mẫu kiểm định, thử thực địa, mẫu lưu và yêu cầu của Cơ quan kiểm định, thử thực địa bằng văn bản."
"Thủ tục nhập khẩu mẫu bệnh phẩm để kiểm định, thử thực địa là gì?","Thương nhân, tổ chức xin phép nhập khẩu gửi hồ sơ về Bộ Y tế (Cục Y tế dự phòng Việt Nam) và trong vòng 15 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Bộ Y tế (Cục Y tế dự phòng Việt Nam) tiến hành xem xét và trả lời bằng văn bản về việc đồng ý hoặc không đồng ý cấp giấy phép nhập khẩu."
"Tóm tắt các bước thủ tục nhập khẩu vắc xin, sinh phẩm y tế để kiểm định, thử thực địa, dùng làm mẫu đăng ký?","Các bước thủ tục nhập khẩu vắc xin, sinh phẩm y tế để kiểm định, thử thực địa, dùng làm mẫu đăng ký bao gồm: gửi hồ sơ về Bộ Y tế (Cục Y tế dự phòng Việt Nam), trong vòng 15 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Bộ Y tế (Cục Y tế dự phòng Việt Nam) tiến hành xem xét và trả lời bằng văn bản về việc đồng ý hoặc không đồng ý cấp giấy phép nhập khẩu. Theo Điều 2.2.2 của Thông tư số 195/2014/TT-BYT."
Điều kiện để thu thập mẫu bệnh phẩm là gì?,"Điều kiện để thu thập mẫu bệnh phẩm là người thực hiện việc lấy mẫu bệnh phẩm phải có kỹ năng thu thập mẫu bệnh phẩm, việc thu thập mẫu bệnh phẩm phải bảo đảm an toàn và tránh lây nhiễm đối với người đi lấy mẫu, người cùng làm việc, nhân viên phòng xét nghiệm và người bệnh. Theo Điều 4 của Thông tư số 195/2014/TT-BYT."
"Công ty nhập khẩu mẫu bệnh phẩm để nghiên cứu, sử dụng cho các chương trình, dự án cần chuẩn bị hồ sơ gì?",Công văn đề nghị nhập khẩu. Theo khoản 2.2.3.1 của Thông tư số ... (không rõ số hiệu)
Người thực hiện việc lấy mẫu bệnh phẩm phải có kỹ năng gì?,Người thực hiện việc lấy mẫu bệnh phẩm phải có kỹ năng thu thập mẫu bệnh phẩm. Theo Điều 4 của Thông tư số ... (không rõ số hiệu)
Quản lý giấy chứng nhận an toàn sinh học được quy định như thế nào?,Mỗi phòng xét nghiệm chỉ được cấp một giấy chứng nhận an toàn sinh học theo mẫu quy định tại Phụ lục 11 ban hành kèm theo Thông tư này. theo Thông tư số 195/2014/TT-BYT.
Các yếu tố nào cần được đảm bảo tại đơn vị xét nghiệm?,"Việc thực hiện vệ sinh môi trường, bảo đảm an ninh, trật tự tại đơn vị và việc tiếp công dân, giải quyết kiến nghị, phản ánh, khiếu nại, tố cáo và kết quả giải quyết kiến nghị, phản ánh, khiếu nại, tố cáo của người bệnh và người đại diện hợp pháp của người bệnh đối với đơn vị. theo Thông tư số 195/2014/TT-BYT."
"Một phòng xét nghiệm được cấp giấy chứng nhận an toàn sinh học theo quy định, sau đó, trong thời gian không quá bao nhiêu ngày, Bộ Y tế gửi văn bản thông báo cho Ủy ban nhân dân tỉnh và Sở Y tế tỉnh nơi cơ sở xét nghiệm đã được cấp giấy chứng nhận an toàn sinh học?","Sau khi cấp giấy chứng nhận an toàn sinh học cho cơ sở, Bộ Y tế gửi văn bản thông báo cho Ủy ban nhân dân tỉnh và Sở Y tế tỉnh nơi cơ sở xét nghiệm đã được cấp giấy chứng nhận an toàn sinh học đặt trụ sở trong thời gian không quá 30 (ba mươi) ngày kể từ ngày cấp mới, cấp lại giấy chứng nhận an toàn sinh học. Theo Điều 3 của Thông tư số 195/2014/TT-BYT."
"Để được công nhận đạt tiêu chuẩn ISO 17025 đối với một số xét nghiệm bắt buộc về kiểm tra chất lượng nước ăn uống, sinh hoạt, thực phẩm, một phòng xét nghiệm phải đạt được những yêu cầu nào?","Để được công nhận đạt tiêu chuẩn ISO 17025 đối với một số xét nghiệm bắt buộc về kiểm tra chất lượng nước ăn uống, sinh hoạt, thực phẩm, một phòng xét nghiệm phải đạt được các yêu cầu về cơ sở vật chất, trang thiết bị, nhân sự và thực hành. Theo quy định tại Phần 1.6 của Thông tư số 195/2014/TT-BYT."
"Quản lý giấy chứng nhận an toàn sinh học khác gì so với việc thực hiện vệ sinh môi trường, bảo đảm an ninh, trật tự tại đơn vị?","Quản lý giấy chứng nhận an toàn sinh học khác với việc thực hiện vệ sinh môi trường, bảo đảm an ninh, trật tự tại đơn vị vì nó liên quan đến cấp mới, cấp lại giấy chứng nhận an toàn sinh học và gửi văn bản thông báo cho các cơ quan liên quan. Theo Điều 3 của Thông tư số 195/2014/TT-BYT."
"Phòng xét nghiệm được công nhận đạt tiêu chuẩn ISO 17025 khác gì với việc thực hiện vệ sinh môi trường, cảnh quan xanh, sạch, đẹp?","Phòng xét nghiệm được công nhận đạt tiêu chuẩn ISO 17025 khác với việc thực hiện vệ sinh môi trường, cảnh quan xanh, sạch, đẹp vì nó liên quan đến việc được công nhận đạt tiêu chuẩn ISO 17025 cho một số xét nghiệm bắt buộc về kiểm tra chất lượng nước ăn uống, sinh hoạt, thực phẩm. Theo Điều 1.6 của Thông tư số 195/2014/TT-BYT."
Tiêm chủng là gì?,Tiêm chủng là việc đưa vắc xin vào cơ thể con người với mục đích tạo cho cơ thể khả năng đáp ứng miễn dịch để dự phòng bệnh tật. Theo Điều 2 của Thông tư số...
Dịch vụ tiêm chủng bao gồm những hoạt động nào?,"Dịch vụ tiêm chủng bao gồm tư vấn trước tiêm chủng, khám sàng lọc, tiêm chủng, theo dõi phản ứng sau tiêm chủng, quản lý đối tượng, thống kê báo cáo. Theo Điều 25 của Thông tư số..."
"Một người mẹ có thai muốn tiêm chủng tại nhà, liệu có được không?","Có, theo Điều 1 của Thông tư số 195/2014/TT-BYT, dịch vụ tiêm chủng có thể được thực hiện tại nhà."
"Một người thầy thuốc làm việc trong cơ sở khám bệnh, chữa bệnh có cần tiêm phòng vắc xin phòng ngừa các bệnh truyền nhiễm không?","Có, theo Điều 5 của Thông tư số 195/2014/TT-BYT, thầy thuốc, nhân viên y tế làm việc trong các cơ sở khám bệnh, chữa bệnh được tiêm phòng vắc xin phòng ngừa các bệnh truyền nhiễm."
Phiếu tiếp nhận Bản công bố dược liệu sản xuất theo GACP-WHO có hiệu lực đến khi nào?,Phiếu tiếp nhận Bản công bố dược liệu sản xuất theo GACP-WHO có hiệu lực đến hết thời hạn của Phiếu tiếp nhận Bản công bố dược liệu sản xuất theo GACP-WHO. Theo Điều 17 của Thông tư số 195/2014/TT-BYT.
"Quy trình trồng trọt, thu hái, chế biến dược liệu gồm những nội dung nào?","Quy trình trồng trọt, thu hái, chế biến dược liệu gồm các nội dung: chọn vùng đất, xác định thời gian trồng trọt và thời vụ thu hoạch; chọn giống, nhân giống; xử lý đất trồng, gieo giống; chăm bón, tưới tiêu; phòng ngừa sâu bệnh; thu hái, sơ chế, chế biến; đóng gói, ghi nhãn, bảo quản; yêu cầu chất lượng và phương pháp kiểm tra, kiểm soát chất lượng sản phẩm. Theo Điều 6 của Thông tư số 195/2014/TT-BYT."
Việc cấp lại Giấy chứng nhận dược liệu đạt GACP-WHO có liên quan gì đến Phiếu tiếp nhận Bản công bố dược liệu sản xuất theo GACP-WHO?,"Theo Điều 17 của Thông tư số 195/2014/TT-BYT, trường hợp cơ sở đề nghị cấp Giấy chứng nhận dược liệu đạt GACP-WHO thay cho Phiếu tiếp nhận Bản công bố dược liệu sản xuất theo GACP-WHO còn hiệu lực, cơ sở thực hiện việc cấp lại Giấy chứng nhận dược liệu đạt GACP-WHO theo quy định tại Điều 17 Thông tư này."
"Quy trình trồng trọt, thu hái, chế biến dược liệu có liên quan gì đến tổ chức đánh giá sự phù hợp trong lĩnh vực GACP-WHO?","Theo quy định, quy trình trồng trọt, thu hái, chế biến dược liệu là tài liệu kỹ thuật gồm các nội dung: chọn vùng đất, xác định thời gian trồng trọt và thời vụ thu hoạch; chọn giống, nhân giống; xử lý đất trồng, gieo giống; chăm bón, tưới tiêu; phòng ngừa sâu bệnh; thu hái, sơ chế, chế biến; đóng gói, ghi nhãn, bảo quản; yêu cầu chất lượng và phương pháp kiểm tra, kiểm soát chất lượng sản phẩm. Tổ chức đánh giá sự phù hợp trong lĩnh vực GACP-WHO là tổ chức có đủ điều kiện quy định do Bộ Y tế chỉ định."
"Thẩm quyền cấp, cấp lại, thu hồi giấy chứng nhận người có bài thuốc gia truyền, giấy chứng nhận người có phương pháp chữa bệnh gia truyền là ai?","Người đứng đầu cơ quan chuyên môn về y tế thuộc Ủy ban nhân dân cấp tỉnh cấp, cấp lại, thu hồi giấy chứng nhận người có bài thuốc gia truyền, giấy chứng nhận người có phương pháp chữa bệnh gia truyền. Theo Điều 20 của Thông tư số .../.../TT-BYT"
Điều kiện được cấp giấy chứng nhận là lương y đối với đối tượng quy định Khoản 5 Điều 1 Thông tư này là gì?,"Có giấy xác nhận đã tham dự lớp bồi dưỡng về y học cổ truyền do viện, bệnh viện y học cổ truyền, Hội Đông y, Hội Châm cứu tỉnh trở lên, các trường chuyên ngành y, dược với tổng thời gian từ đủ 6 tháng trở lên trước khi Thông tư này có hiệu lực. Theo Điều 6 của Thông tư số .../.../TT-BYT"
"Cấp mới, cấp lại, điều chỉnh, gia hạn giấy phép hành nghề trong giai đoạn chuyển tiếp đối với người làm việc tại cơ sở khám bệnh, chữa bệnh trực thuộc Bộ Y tế nộp hồ sơ đề nghị cấp giấy phép hành nghề từ ngày nào?",Từ ngày 01 tháng 01 năm 2024. Theo Điều 2 của Thông tư số 195/2014/TT-BYT.
